"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"10202",1.70206737740612e-31,-1.41824072015319,0.443,0.585,3.13895265741237e-27,"ResA_1'","ENSG00000205629"
"10203",2.19992076598407e-44,-1.41867347983339,0.603,0.755,4.05709387662783e-40,"ResA_1'","ENSG00000161013"
"10204",1.97382565619809e-95,-1.4188566852132,0.136,0.368,3.64012927516051e-91,"ResA_1'","ENSG00000165496"
"10205",6.92804040513382e-69,-1.41906940693219,0.417,0.614,1.27766921151478e-64,"ResA_1'","ENSG00000005175"
"10206",1.5315219284436e-43,-1.41952218892479,0.437,0.583,2.82443274043568e-39,"ResA_1'","ENSG00000049618"
"10207",2.3609484702025e-101,-1.41989544519133,0.119,0.337,4.35406116874745e-97,"ResA_1'","ENSG00000027001"
"10208",3.97817047366818e-65,-1.42000540595222,0.224,0.429,7.33654198753886e-61,"ResA_1'","ENSG00000137414"
"10209",1.34056670592163e-163,-1.42049232084876,0.15,0.474,2.47227311906068e-159,"ResA_1'","ENSG00000113441"
"10210",1.14095082811626e-107,-1.42097732299965,0.316,0.576,2.10414151721201e-103,"ResA_1'","ENSG00000166452"
"10211",1.41366959033131e-142,-1.42155804669068,0.224,0.529,2.60708945848901e-138,"ResA_1'","ENSG00000107854"
"10212",8.13121041216956e-71,-1.42170915409516,0.302,0.495,1.49955782421231e-66,"ResA_1'","ENSG00000177854"
"10213",1.71330040559995e-98,-1.42174211571237,0.247,0.506,3.15966860800743e-94,"ResA_1'","ENSG00000198399"
"10214",2.12251139395603e-93,-1.42179309163593,0.271,0.513,3.91433551273371e-89,"ResA_1'","ENSG00000136273"
"10215",2.62407964240722e-150,-1.42247888202879,0.186,0.487,4.8393276765274e-146,"ResA_1'","ENSG00000110330"
"10216",4.20711338159587e-135,-1.42353550956802,0.225,0.514,7.75875849833911e-131,"ResA_1'","ENSG00000010404"
"10217",8.78029287429131e-94,-1.42484697828065,0.259,0.493,1.6192616118768e-89,"ResA_1'","ENSG00000151657"
"10218",2.60163400714715e-73,-1.42529562145606,0.235,0.437,4.79793343598077e-69,"ResA_1'","ENSG00000062650"
"10219",1.62362946362996e-35,-1.42563758624628,0.265,0.4,2.99429745682637e-31,"ResA_1'","ENSG00000155961"
"10220",1.92813857102285e-146,-1.42763450032727,0.164,0.466,3.55587315268034e-142,"ResA_1'","ENSG00000237289"
"10221",1.16899090422574e-52,-1.42784882724636,0.188,0.348,2.1558530255731e-48,"ResA_1'","ENSG00000112186"
"10222",6.80977672606834e-43,-1.42790065647239,0.369,0.516,1.25585902382152e-38,"ResA_1'","ENSG00000116120"
"10223",3.01766829259588e-131,-1.42845293419971,0.316,0.603,5.56518386520531e-127,"ResA_1'","ENSG00000137871"
"10224",3.25151255131186e-129,-1.42856267146145,0.276,0.568,5.99643944712933e-125,"ResA_1'","ENSG00000169057"
"10225",1.34731975543414e-110,-1.42887481580504,0.138,0.39,2.48472709297163e-106,"ResA_1'","ENSG00000179344"
"10226",4.76303947220434e-55,-1.4292844124741,0.255,0.421,8.78399739463924e-51,"ResA_1'","ENSG00000196227"
"10227",1.30824163375896e-59,-1.42959955535515,0.321,0.503,2.41265922097827e-55,"ResA_1'","ENSG00000165650"
"10228",7.7480446990259e-91,-1.43043171149762,0.29,0.522,1.42889440339436e-86,"ResA_1'","ENSG00000119812"
"10229",5.85413156959789e-148,-1.43069805334504,0.156,0.46,1.07961894406524e-143,"ResA_1'","ENSG00000198105"
"10230",2.48445317247653e-125,-1.43083411186056,0.253,0.538,4.58182854068121e-121,"ResA_1'","ENSG00000067208"
"10231",6.76294860641984e-48,-1.43189426513575,0.617,0.754,1.24722298199595e-43,"ResA_1'","ENSG00000113312"
"10232",7.77928382808819e-86,-1.43194771527572,0.228,0.456,1.43465552357602e-81,"ResA_1'","ENSG00000032219"
"10233",4.03484774399375e-65,-1.43207909169964,0.403,0.575,7.44106620947328e-61,"ResA_1'","ENSG00000036257"
"10234",6.04124595343643e-95,-1.43224789666726,0.264,0.505,1.11412657873275e-90,"ResA_1'","ENSG00000179051"
"10235",2.4965030807411e-116,-1.43260070297462,0.233,0.515,4.60405098150273e-112,"ResA_1'","ENSG00000125779"
